ZipCode,MedianIncome,MarginOfError
04562,90500,14252
04563,60852,12502
04564,92788,49353
04568,53125,23867
04570,,
04571,48885,19151
04572,44182,9989
04573,79773,5507
04574,52557,9058
04575,,
04576,59500,17221
04578,64516,20641
04579,86286,14031
04605,61641,3758
04606,43088,8201
04607,54375,25826
04609,71900,24642
04611,53750,5027
04612,78261,5475
04613,74063,19910
04614,53566,17818
04616,54191,5734
04617,44967,32086
04619,39009,9756
04622,33403,11486
04623,56071,15781
04624,50956,8801
04625,48214,10467
04626,49250,17798
04627,56583,11962
04628,48274,15009
04630,51750,7427
04631,39375,4581
04634,53333,9384
04635,,
04640,62639,3047
04642,60938,16466
04643,60588,8530
04645,,
04646,63304,9857
04648,47679,7697
04649,43750,15964
04650,100313,48225
04652,51146,11100
04653,55227,26452
04654,36792,3995
04655,51900,10277
04657,56500,9425
04658,44545,16429
04660,81413,25467
04662,68214,49720
04664,61190,12601
04666,53906,7959
04667,61250,7037
04668,43750,11098
04669,85417,67430
04671,62813,7021
04673,22500,6503
04674,46625,12714
04675,,
04676,67625,5091
04677,72734,14490
04679,48452,9727
04680,61053,11995
04681,63359,14244
04683,,
04684,68158,10399
04685,73906,16565
04686,53611,6874
04691,49135,7249
04693,56591,14463
04694,47024,11772
04730,49727,7652
04732,41741,7028
04733,50568,15599
04734,71141,32757
04735,40625,12943
04736,47423,7594
04737,,
04739,39250,12328
04740,43864,6165
04742,44719,27156
04743,54105,6267
04745,50667,16602
04746,31339,6213
04747,50667,9010
04750,40188,8685
04756,40153,12094
04757,70428,7714
04758,53587,9902
04760,42321,9959
04761,45682,5841
04762,46250,18921
04763,42000,8716
04764,27188,17242
04765,37596,8472
04766,48906,9286
04768,49375,11786
04769,47853,5387
04772,66471,18942
04773,52356,22209
04774,37647,12817
04776,47321,8178
04777,37188,13664
04779,77708,27123
04780,50260,14533
04781,52946,8461
04783,44107,9266
04785,31921,5292
04786,42330,7136
04787,36250,16635
04841,48871,6593
04843,84123,15667
04847,74288,2378
04848,67813,31747
04849,70820,6964
04851,63750,44505
04852,,
04853,77500,19343
04854,69167,14818
04855,243397,24165
04856,83542,18217
04858,76368,2366
04859,71382,25338
04860,40703,30119
04861,55922,6154
04862,55139,14335
04863,76979,27617
04864,77102,8694
04901,46358,3001
04910,51667,11103
04911,41250,15737
04912,38971,9869
04915,55614,9315
04917,77161,9031
04918,,
04920,34386,2211
04921,50250,8951
04922,38750,14682
04923,64091,29332
04924,50909,14102
04925,117917,71968
04926,,
04927,66899,11422
04928,53966,10971
04929,37250,13023
04930,44167,8884
04932,57125,16635
04936,33333,23990
04937,45966,11937
04938,51096,7187
04939,38333,14572
04940,,
04941,58170,3274
04942,34079,6555
04943,31667,12988
04944,,
04945,49474,6265
04947,66042,22217
04949,60313,16667
04950,44307,8728
04951,64539,9702
04952,60833,14466
04953,56358,8418
04955,66964,16306
04956,55250,12739
04957,50234,10374
04958,52283,9219
04961,37932,5093
04963,72588,13424
04964,,
04965,61250,18559
04966,42011,6084
04967,50372,4299
04969,51053,12188
04970,57829,9277
04971,43438,17112
04973,86667,28722
04974,47466,14650
04975,,
04976,49816,7630
04978,90417,16277
04979,48500,14269
04981,69856,10327
04982,31406,15461
04983,38944,4269
04984,48775,1750
04985,,
04986,57500,12585
04987,47500,15695
04988,42031,10384
04989,67264,13345
04992,,
05001,61264,6004
05009,,
05030,56326,33013
05031,,
05032,66972,7482
05033,58854,10346
05034,59250,34243
05035,55179,22019
05036,63854,19215
05037,94837,33162
05038,58869,5114
05039,65658,16750
05040,97583,29319
05041,,
05042,51406,17282
05043,72292,14320
05045,63594,12355
05046,66000,19006
05048,74167,18407
05050,44201,27084
05051,61518,8043
05052,66083,30128
05053,127692,47879
05055,122857,26253
05056,53393,16623
05058,,
05059,,
05060,66509,7589
05061,77969,8360
05062,54500,23006
05065,67232,19351
05067,87188,83190
05068,66450,18061
05069,87813,50173
05070,111250,13731
05071,75625,55016
05072,98333,26610
05073,,
05075,89773,16118
05076,58000,27877
05077,69750,17456
05079,62625,3910
05081,48750,20771
05083,51250,38413
05084,101591,96046
05086,71250,8690
05088,65774,22698
05089,45349,6791
05091,88750,23378
05101,61191,5658
05141,,
05142,61765,12635
05143,65129,7037
05146,75278,14254
05148,65625,26220
05149,47857,13194
05150,58630,3073
05151,75110,9242
05152,108182,18473
05153,56750,15354
05154,,
05155,54891,9894
05156,57147,8468
05158,80250,19021
05161,110833,27943
05201,53544,6550
05250,64601,8228
05251,86000,30607
05252,80694,18931
05253,40625,29965
05254,81339,47294
05255,81835,12544
05257,65500,16635
05260,54816,39243
05261,65595,21321
05262,97614,25566
05301,49565,4844
05340,69375,30542
05341,,
05342,44688,13522
05343,58400,8083
05344,,
05345,63938,5420
05346,64745,5350
05350,65313,13231
05351,,
05352,71563,9833
05353,80677,23048
05354,78393,17971
05355,85804,17062
05356,51307,8297
05358,34896,34843
05359,65000,15487
05360,69837,29533
05361,72417,8818
05362,53587,5507
05363,62692,19308
05401,54088,3766
05403,83943,5247
05404,62098,10336
05405,,
05408,80242,7916
05439,,
05440,63462,13316
05441,78333,9305
05442,80547,15086
05443,79005,12271
05444,67292,11004
05445,111535,10563
05446,84111,5429
05447,45865,9076
05448,72917,17274
05450,70787,8660
05452,88350,8141
05454,91583,11119
05455,101250,13660
05456,116250,27745
05457,90750,19276
05458,98194,16990
05459,70308,9579
05461,104631,24010
05462,81771,2726
05463,60417,22004
05464,83342,7012
05465,101300,14344
05468,98306,10655
05471,27107,18005
05472,91597,16277
05473,99000,23371
05474,84375,21776
05476,53393,7708
05477,105428,12357
05478,63525,4339
05481,,
05482,104796,18269
05483,61250,1404
05485,,
05486,107396,13830
05487,69583,13805
05488,65923,7035
05489,85769,10591
05491,79153,5791
05492,75417,27343
05494,100769,12600
05495,97417,14083
05602,72040,3999
05640,115685,12679
05641,63516,4652
05647,63525,2454
05648,87813,35215
05649,71484,7058
05650,71563,16866
05651,76680,20087
05652,55648,13003
05653,52917,12928
05654,43375,20388
05655,69323,11494
05656,47717,14339
05658,59375,7644
05660,86174,9036
05661,59079,4451
05663,67755,15258
05664,,
05666,36944,14516
